type,format,identifier,references,title,description,source,audience,created,creator,contributor,publisher,license,rightsHolder
4912807457,StillImage,image/jpeg,http://www.boldsystems.org/pics/FSWPU/PMFF_B3-3a+1510785067.jpg,http://bins.boldsystems.org/index.php/Public_RecordView?processid=FSWPU026-12,FSWPU026-12 Ventral,,,,,,,,http://creativecommons.org/licenses/by-nc-sa/4.0/,
4912807457,StillImage,image/jpeg,http://www.boldsystems.org/pics/FSWPU/PMFF_B3-3c+1510785202.jpg,http://bins.boldsystems.org/index.php/Public_RecordView?processid=FSWPU026-12,FSWPU026-12 Lateral,,,,,,,,http://creativecommons.org/licenses/by-nc-sa/4.0/,
4912807457,StillImage,image/jpeg,http://www.boldsystems.org/pics/FSWPU/PMFF_B3-3b+1510785152.jpg,http://bins.boldsystems.org/index.php/Public_RecordView?processid=FSWPU026-12,FSWPU026-12 Dorsal,,,,,,,,http://creativecommons.org/licenses/by-nc-sa/4.0/,
4912711397,StillImage,image/jpeg,http://www.boldsystems.org/pics/FSWPU/PMFF_B1-3b+1510780925.jpg,http://bins.boldsystems.org/index.php/Public_RecordView?processid=FSWPU021-12,FSWPU021-12 Dorsal,,,,,,,,http://creativecommons.org/licenses/by-nc-sa/4.0/,
4912711397,StillImage,image/jpeg,http://www.boldsystems.org/pics/FSWPU/PMFF_B1-3a+1510780871.jpg,http://bins.boldsystems.org/index.php/Public_RecordView?processid=FSWPU021-12,FSWPU021-12 Ventral,,,,,,,,http://creativecommons.org/licenses/by-nc-sa/4.0/,
4912681471,StillImage,image/jpeg,http://www.boldsystems.org/pics/FSWPU/PMNF_B2-2b+1511303829.jpg,http://bins.boldsystems.org/index.php/Public_RecordView?processid=FSWPU017-12,FSWPU017-12 Dorsal,,,,,,,,http://creativecommons.org/licenses/by-nc-sa/4.0/,
4912681471,StillImage,image/jpeg,http://www.boldsystems.org/pics/FSWPU/PMNF_B2-2c+1511303875.jpg,http://bins.boldsystems.org/index.php/Public_RecordView?processid=FSWPU017-12,FSWPU017-12 Lateral,,,,,,,,http://creativecommons.org/licenses/by-nc-sa/4.0/,
4912681471,StillImage,image/jpeg,http://www.boldsystems.org/pics/FSWPU/PMNF_B2-2a+1511303781.jpg,http://bins.boldsystems.org/index.php/Public_RecordView?processid=FSWPU017-12,FSWPU017-12 Ventral,,,,,,,,http://creativecommons.org/licenses/by-nc-sa/4.0/,
473371360,StillImage,image/jpeg,https://ibss-images.calacademy.org/static/ichthyology/originals/dc/7d/dc7db9f8-24e2-4ed7-825e-dccaba36bb4f.jpg,,64618-p,photograph of CAS-ICH 64618,,,,,,,http://creativecommons.org/publicdomain/zero/1.0/,
473371360,StillImage,image/jpeg,https://ibss-images.calacademy.org/static/ichthyology/originals/20/7f/207fdf89-eb6a-4b59-889b-4aa88c33d956.jpg,,64618-r,radiograph of CAS-ICH 64618,,,,,,,http://creativecommons.org/publicdomain/zero/1.0/,
473167879,StillImage,image/jpeg,https://ibss-images.calacademy.org/static/ichthyology/originals/ac/18/ac18f75e-7e77-44fc-a2b2-e0a171f9909f.jpg,,47015-r,radiograph of CAS-ICH 47015,,,,,,,http://creativecommons.org/publicdomain/zero/1.0/,
